,Role,Company,Stipend,Duration,Location
294,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
295,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
296,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
297,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
298,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
299,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
300,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
301,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
302,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
303,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
304,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
305,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
306,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
307,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
308,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
309,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
310,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
311,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
312,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
313,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
314,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
315,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
316,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
317,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
318,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
319,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
320,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
321,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
322,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
323,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
324,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
325,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
326,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
327,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
328,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
329,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
330,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
331,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
332,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
333,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
334,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
335,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
336,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
337,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
338,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
339,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
340,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
341,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
342,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
343,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
344,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
345,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
346,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
347,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
348,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
349,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
350,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
351,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
352,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
353,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
354,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
355,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
356,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
357,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
358,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
359,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
360,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
361,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
362,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
363,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
364,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
365,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
366,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
367,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
368,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
369,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
370,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
371,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
372,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
373,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
374,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
375,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
376,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
377,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
378,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
379,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
380,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
381,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
382,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
383,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
384,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
385,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
386,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
387,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
388,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
389,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
390,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
391,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
392,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
393,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
394,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
395,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
396,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
397,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
398,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
399,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
400,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
401,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
402,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
403,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
404,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
405,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
406,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
407,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
408,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
409,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
410,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
411,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
412,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
413,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
414,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
415,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Noida
416,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
417,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
418,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Patna
419,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Pune
420,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
421,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Chennai                                                            (Hybrid)
422,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Pune
423,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
424,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Pune
425,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Sonipat
426,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Kolkata                                                            (Hybrid)
427,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Panchkula
428,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Delhi
429,Data Analytics - Flutter App,S Attri (Atri Consulting),"₹ 10,000 /month",6 Months,Ahmedabad
430,Graphic Design,Trapigo,"₹ 3,000-5,000 /month",6 Months,Pune
431,Customer Service/Customer Support,MentorBoxx,"₹ 15,000 /month",3 Months,Hinjawadi
432,Research,ReportsInsights Consulting Pvt Ltd,"₹ 10,000 /month",6 Months,Pune
433,Graphic Design,Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,Ahmedabad
434,Graphic Design,Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,Mohali
435,Business Awards Management,WEMATTER PXT Limited,"₹ 15,000 /month",6 Months,Kolkata
436,Business Development (Sales),Talent Corner HR Services,"₹ 5,000 /month",3 Months,"North Goa, Goa Velha, Goa"
437,Videography,Organic Smokes,"₹ 30,000 /month",6 Months,Delhi
438,Content Writing,Esta Global,"₹ 6,000 /month",6 Months,
439,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
440,Social Media Marketing,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,
441,Electrical Engineering,Integrated Project Design,"₹ 5,000 /month",6 Months,
442,Sales Associate,RBK Technologies,"₹ 25,000 /month",3 Months,
443,Video Editing/Making,Pune Medical Coding Training Institute,"₹ 7,000 /month",5 Months,
444,Law/Legal,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
445,Graphic Design,Rajul Graphics,"₹ 7,000 /month",6 Months,
446,Graphic Design,Alphanumeric Ideas Private Limited,"₹ 2,000-3,000 /month",3 Months,
447,Social Media Marketing,Storybizz Media Private Limited,"₹ 6,000-15,000 /month",6 Months,
448,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,
449,Photography,LIVWISE.IN,"₹ 5,000-10,000 /month",5 Months,
450,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
451,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
452,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
453,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
454,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
455,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
456,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
457,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
